City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Chepareria,KE,2022-07-31 04:17:00,1.3077,35.2039,59.22,88,48,1.97
124,Tuatapere,NZ,2022-07-31 04:17:00,-46.1333,167.6833,45.43,86,73,10.25
125,Nanortalik,GL,2022-07-31 04:17:00,60.1432,-45.2371,43.68,90,92,0.63
126,Raudeberg,NO,2022-07-31 04:17:01,61.9875,5.1352,51.96,89,100,11.9
127,Mazamari,PE,2022-07-31 04:17:01,-11.3258,-74.5308,72.91,85,96,1.28
128,Kirakira,SB,2022-07-31 04:17:02,-10.4544,161.9205,84.54,68,13,10.45
129,Thompson,CA,2022-07-31 04:17:02,55.7435,-97.8558,48.36,81,20,0.0
130,Arraial Do Cabo,BR,2022-07-31 04:12:33,-22.9661,-42.0278,66.51,68,2,13.6
131,Kirensk,RU,2022-07-31 04:17:02,57.7853,108.1119,61.43,94,100,5.06
132,Beloha,MG,2022-07-31 04:17:03,-25.1667,45.05,64.08,80,4,3.22
133,Srednekolymsk,RU,2022-07-31 04:12:19,67.45,153.6833,74.26,27,13,12.68
134,Marystown,CA,2022-07-31 04:17:03,47.1666,-55.1483,62.85,100,100,11.1
135,Launceston,AU,2022-07-31 04:18:04,-41.45,147.1667,55.04,65,100,16.11
136,New Norfolk,AU,2022-07-31 04:18:04,-42.7826,147.0587,53.89,77,100,7.81
137,Cantu,IT,2022-07-31 04:18:05,45.7294,9.1405,69.57,57,3,1.99
138,Ponta Delgada,PT,2022-07-31 04:18:05,37.7333,-25.6667,68.72,88,20,5.75
139,Saint George,US,2022-07-31 04:18:05,37.1041,-113.5841,73.99,78,40,0.0
140,Krasnokholm,RU,2022-07-31 04:18:06,51.5979,54.1567,71.11,59,100,4.18
141,Copiapo,CL,2022-07-31 04:18:06,-27.3667,-70.3333,51.49,77,2,1.61
142,Machali,CL,2022-07-31 04:17:36,-34.1833,-70.6667,48.34,77,45,2.33
143,Chimbote,PE,2022-07-31 04:18:07,-9.0853,-78.5783,61.75,85,4,5.91
144,Salalah,OM,2022-07-31 04:18:07,17.0151,54.0924,77.09,88,75,6.91
145,Cabo San Lucas,MX,2022-07-31 04:17:58,22.8909,-109.9124,86.61,64,29,1.99
